_CASE_KEY;ACTIVITY_EN;EVENTTIME;_SORTING;USER_NAME;User Type
100000;Record Invoice Receipt;2016-10-13T10:00:01;0;BATCH_JOB;B
100000;Create Purchase Order Item;2016-10-15T10:00:01;10;BATCH_JOB;B
100000;Send Purchase Order;2016-10-17T10:00:01;0;BATCH_JOB;B
100000;Record Goods Receipt;2016-10-26T10:00:01;30;BATCH_JOB;B
100000;Clear Invoice;2016-11-06T10:00:01;0;Jena Jeans;A
1000000;Create Purchase Requisition Item;2016-03-30T17:32:15;0;BATCH_JOB;B
1000000;Create Purchase Order Item;2016-04-01T17:32:15;10;BATCH_JOB;B
1000000;Send Purchase Order;2016-04-03T17:32:15;0;BATCH_JOB;B
1000000;Receive Order Confirmation;2016-04-06T17:32:15;10;Margene Hamil;A
1000000;Record Goods Receipt;2016-04-13T17:32:15;30;BATCH_JOB;B
1000000;Record Invoice Receipt;2016-04-18T17:32:15;0;BATCH_JOB;B
1000000;Clear Invoice;2016-04-20T17:32:15;0;BATCH_JOB;B
1000001;Create Purchase Requisition Item;2016-03-30T17:32:15;0;BATCH_JOB;B
1000001;Create Purchase Order Item;2016-04-01T17:32:15;10;Alfonso Wernick;A
1000001;Send Purchase Order;2016-04-04T17:32:15;0;BATCH_JOB;B
1000001;Dun Order Confirmation;2016-04-06T17:32:15;10;Summer Fusaro;A
1000001;Receive Order Confirmation;2016-04-10T17:32:15;10;BATCH_JOB;B
1000001;Record Goods Receipt;2016-04-16T17:32:15;30;Tasia Snelgrove;A
1000001;Record Invoice Receipt;2016-04-23T17:32:15;0;BATCH_JOB;B
1000001;Clear Invoice;2016-04-26T17:32:15;0;Toby Narvaez;A
1000002;Create Purchase Requisition Item;2016-03-30T17:32:15;0;Toby Narvaez;A
1000002;Create Purchase Order Item;2016-04-01T17:32:15;10;Leontine Sifford;A
1000002;Send Purchase Order;2016-04-02T17:32:15;0;BATCH_JOB;B
1000002;Dun Order Confirmation;2016-04-06T17:32:15;10;Anna Hulings;A
1000002;Receive Order Confirmation;2016-04-09T17:32:15;10;BATCH_JOB;B
1000002;Record Goods Receipt;2016-04-18T17:32:15;30;BATCH_JOB;B
1000002;Clear Invoice;2016-04-23T17:32:15;0;Marcela Ye;A
1000002;Record Invoice Receipt;2016-04-24T17:32:15;0;BATCH_JOB;B
1000003;Create Purchase Requisition Item;2016-03-30T17:32:15;0;BATCH_JOB;B
1000003;Create Purchase Order Item;2016-04-01T17:32:15;10;BATCH_JOB;B
1000003;Send Purchase Order;2016-04-03T17:32:15;0;BATCH_JOB;B
1000003;Record Goods Receipt;2016-04-13T17:32:15;30;BATCH_JOB;B
1000003;Record Invoice Receipt;2016-04-21T17:32:15;0;BATCH_JOB;B
1000003;Set Payment Block;2016-04-22T17:32:15;0;BATCH_JOB;B
1000003;Remove Payment Block;2016-04-27T17:32:15;0;Karri Ptacek;A
1000003;Clear Invoice;2016-05-07T17:32:15;0;Kenia Romine;A
1000004;Create Purchase Requisition Item;2016-03-30T17:32:15;0;BATCH_JOB;B
1000004;Create Purchase Order Item;2016-04-01T17:32:15;10;Kristen Eckhoff;A
1000004;Send Purchase Order;2016-04-02T17:32:15;0;BATCH_JOB;B
1000004;Send Purchase Order Update;2016-04-06T17:32:15;0;BATCH_JOB;B
1000004;Record Goods Receipt;2016-04-17T17:32:15;30;Irene Llanas;A
1000004;Record Invoice Receipt;2016-04-20T17:32:15;0;BATCH_JOB;B
1000004;Clear Invoice;2016-05-09T17:32:15;0;Lillian Wheaton;A
